<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
SANDP-FUT,1,20140208,021500,1793.3000000,1793.3000000,1793.3000000,1793.3000000
SANDP-FUT,1,20140208,090000,1793.3000000,1793.3000000,1793.3000000,1793.3000000
SANDP-FUT,1,20140209,021500,1793.3000000,1793.3000000,1793.3000000,1793.3000000
SANDP-FUT,1,20140209,050500,1793.3000000,1793.3000000,1793.3000000,1793.3000000
SANDP-FUT,1,20140209,090000,1793.3000000,1793.3000000,1793.3000000,1793.3000000
SANDP-FUT,1,20140210,021500,1793.3000000,1793.3000000,1793.3000000,1793.3000000
SANDP-FUT,1,20140210,030000,1793.0300000,1793.0300000,1792.7000000,1792.7000000
SANDP-FUT,1,20140210,030100,1792.7100000,1792.8800000,1792.7100000,1792.8800000
SANDP-FUT,1,20140210,030200,1792.8900000,1792.9000000,1792.8900000,1792.9000000
SANDP-FUT,1,20140210,030500,1793.0000000,1793.0200000,1793.0000000,1793.0200000
SANDP-FUT,1,20140210,030600,1793.0300000,1793.1000000,1793.0300000,1793.1000000
SANDP-FUT,1,20140210,030900,1793.3300000,1793.8000000,1793.3300000,1793.8000000
SANDP-FUT,1,20140210,031000,1793.8100000,1794.0000000,1793.8100000,1794.0000000
SANDP-FUT,1,20140210,031100,1793.9700000,1793.9700000,1793.9000000,1793.9000000
SANDP-FUT,1,20140210,031200,1793.9000000,1793.9000000,1793.9000000,1793.9000000
SANDP-FUT,1,20140210,031500,1793.8900000,1793.8900000,1793.8600000,1793.8600000
SANDP-FUT,1,20140210,031600,1793.8200000,1793.8200000,1793.7000000,1793.7000000
SANDP-FUT,1,20140210,032400,1793.6900000,1793.6900000,1793.6000000,1793.6000000
SANDP-FUT,1,20140210,032700,1793.5300000,1793.5300000,1793.4700000,1793.4700000
SANDP-FUT,1,20140210,032800,1793.4400000,1793.4400000,1793.4000000,1793.4000000
SANDP-FUT,1,20140210,033600,1793.2700000,1793.2700000,1793.2100000,1793.2100000
SANDP-FUT,1,20140210,033700,1793.2100000,1793.2100000,1793.1100000,1793.1100000
SANDP-FUT,1,20140210,033800,1793.0800000,1793.0800000,1792.9200000,1792.9200000
SANDP-FUT,1,20140210,033900,1792.9100000,1792.9100000,1792.8000000,1792.8000000
SANDP-FUT,1,20140210,034000,1792.9200000,1793.0700000,1792.9200000,1793.0700000
SANDP-FUT,1,20140210,034100,1793.1000000,1793.1000000,1793.1000000,1793.1000000
SANDP-FUT,1,20140210,034700,1793.0000000,1793.0000000,1792.9000000,1792.9000000
SANDP-FUT,1,20140210,034800,1792.8600000,1792.8600000,1792.7400000,1792.7400000
SANDP-FUT,1,20140210,034900,1792.7300000,1792.7300000,1792.6000000,1792.6000000
SANDP-FUT,1,20140210,035100,1792.6000000,1792.6000000,1792.6000000,1792.6000000
SANDP-FUT,1,20140210,040000,1792.3800000,1792.3800000,1792.0900000,1792.0900000
SANDP-FUT,1,20140210,040100,1792.0400000,1792.0400000,1791.7900000,1791.8700000
SANDP-FUT,1,20140210,040200,1791.9000000,1791.9000000,1791.9000000,1791.9000000
SANDP-FUT,1,20140210,040800,1791.8600000,1791.8600000,1791.7800000,1791.7800000
SANDP-FUT,1,20140210,040900,1791.7500000,1791.7500000,1791.4500000,1791.4500000
SANDP-FUT,1,20140210,041000,1791.4600000,1791.5000000,1791.4600000,1791.5000000
SANDP-FUT,1,20140210,041700,1791.4800000,1791.4800000,1791.4000000,1791.4000000
SANDP-FUT,1,20140210,041800,1791.4500000,1791.6000000,1791.4500000,1791.6000000
SANDP-FUT,1,20140210,041900,1791.6100000,1791.7000000,1791.6100000,1791.7000000
SANDP-FUT,1,20140210,042100,1791.6800000,1791.7400000,1791.6600000,1791.7400000
SANDP-FUT,1,20140210,042200,1791.7500000,1791.9000000,1791.7500000,1791.9000000
SANDP-FUT,1,20140210,042300,1791.9400000,1792.0000000,1791.9400000,1792.0000000
SANDP-FUT,1,20140210,042500,1792.4000000,1792.4000000,1792.4000000,1792.4000000
SANDP-FUT,1,20140210,042600,1792.4200000,1792.5000000,1792.4200000,1792.5000000
SANDP-FUT,1,20140210,042900,1792.4300000,1792.4300000,1792.2000000,1792.2000000
SANDP-FUT,1,20140210,043000,1792.1700000,1792.1700000,1791.9400000,1791.9400000
SANDP-FUT,1,20140210,043100,1791.9200000,1791.9200000,1791.9000000,1791.9000000
SANDP-FUT,1,20140210,043300,1791.8000000,1791.8000000,1791.7000000,1791.7000000
SANDP-FUT,1,20140210,043400,1791.6600000,1791.6600000,1791.6000000,1791.6000000
SANDP-FUT,1,20140210,043600,1791.5700000,1791.5700000,1791.5300000,1791.5300000
SANDP-FUT,1,20140210,043700,1791.5200000,1791.5200000,1791.5000000,1791.5000000
SANDP-FUT,1,20140210,043800,1791.6000000,1791.8300000,1791.6000000,1791.8300000
SANDP-FUT,1,20140210,043900,1791.8600000,1791.9000000,1791.8600000,1791.9000000
SANDP-FUT,1,20140210,044100,1791.8500000,1791.8500000,1791.7200000,1791.7200000
SANDP-FUT,1,20140210,044200,1791.7500000,1791.9400000,1791.7500000,1791.9400000
SANDP-FUT,1,20140210,044300,1791.9600000,1792.0000000,1791.9600000,1792.0000000
SANDP-FUT,1,20140210,044500,1792.1000000,1792.3200000,1792.1000000,1792.3200000
SANDP-FUT,1,20140210,044600,1792.4000000,1792.4000000,1792.4000000,1792.4000000
SANDP-FUT,1,20140210,044800,1792.2300000,1792.2300000,1792.2300000,1792.2300000
SANDP-FUT,1,20140210,044900,1792.1500000,1792.1500000,1791.9000000,1791.9000000
SANDP-FUT,1,20140210,045000,1792.0500000,1792.2000000,1792.0500000,1792.2000000
SANDP-FUT,1,20140210,045100,1792.2300000,1792.4300000,1792.2300000,1792.3300000
SANDP-FUT,1,20140210,045200,1792.3100000,1792.3100000,1792.0000000,1792.0000000
SANDP-FUT,1,20140210,045400,1792.0000000,1792.0000000,1792.0000000,1792.0000000
SANDP-FUT,1,20140210,045900,1792.0000000,1792.0000000,1792.0000000,1792.0000000
SANDP-FUT,1,20140210,050300,1791.8900000,1791.8900000,1791.5300000,1791.5300000
SANDP-FUT,1,20140210,050400,1791.5000000,1791.5000000,1791.5000000,1791.5000000
SANDP-FUT,1,20140210,051100,1791.6000000,1791.8200000,1791.6000000,1791.8200000
SANDP-FUT,1,20140210,051200,1791.8600000,1792.3500000,1791.8600000,1792.3500000
SANDP-FUT,1,20140210,051300,1792.3600000,1792.5000000,1792.3600000,1792.5000000
SANDP-FUT,1,20140210,051500,1792.4300000,1792.4300000,1792.1000000,1792.1000000
SANDP-FUT,1,20140210,052600,1791.6000000,1791.6000000,1791.1800000,1791.1800000
SANDP-FUT,1,20140210,052700,1791.1000000,1791.1000000,1791.1000000,1791.1000000
SANDP-FUT,1,20140210,052800,1791.2200000,1791.2700000,1791.2200000,1791.2700000
SANDP-FUT,1,20140210,052900,1791.3000000,1791.4900000,1791.3000000,1791.4900000
SANDP-FUT,1,20140210,053000,1791.5000000,1791.5000000,1791.5000000,1791.5000000
SANDP-FUT,1,20140210,053400,1791.4900000,1791.4900000,1791.4000000,1791.4000000
SANDP-FUT,1,20140210,053500,1791.4000000,1791.4000000,1791.4000000,1791.4000000
SANDP-FUT,1,20140210,053800,1791.4300000,1791.4900000,1791.4300000,1791.4900000
SANDP-FUT,1,20140210,053900,1791.5000000,1791.6000000,1791.5000000,1791.6000000
SANDP-FUT,1,20140210,054000,1791.6400000,1791.8900000,1791.6400000,1791.8900000
SANDP-FUT,1,20140210,054100,1791.9000000,1792.0000000,1791.9000000,1792.0000000
SANDP-FUT,1,20140210,054200,1792.0200000,1792.2300000,1792.0200000,1792.2300000
SANDP-FUT,1,20140210,054300,1792.2700000,1792.4000000,1792.2700000,1792.2800000
SANDP-FUT,1,20140210,054400,1792.2600000,1792.2600000,1792.1000000,1792.1000000
SANDP-FUT,1,20140210,055000,1792.1300000,1792.1800000,1792.1300000,1792.1800000
SANDP-FUT,1,20140210,055100,1792.1900000,1792.2000000,1792.1900000,1792.2000000
SANDP-FUT,1,20140210,055200,1792.2600000,1792.3900000,1792.2600000,1792.3900000
SANDP-FUT,1,20140210,055300,1792.4100000,1792.5000000,1792.4100000,1792.5000000
SANDP-FUT,1,20140210,055400,1792.5700000,1792.6800000,1792.5700000,1792.6800000
SANDP-FUT,1,20140210,055500,1792.6900000,1792.8000000,1792.6900000,1792.8000000
SANDP-FUT,1,20140210,055700,1792.7400000,1792.7400000,1792.6400000,1792.6400000
SANDP-FUT,1,20140210,055800,1792.6300000,1792.6300000,1792.6000000,1792.6000000
SANDP-FUT,1,20140210,060100,1792.6000000,1792.6000000,1792.6000000,1792.6000000
SANDP-FUT,1,20140210,060500,1792.6000000,1792.6000000,1792.6000000,1792.6000000
SANDP-FUT,1,20140210,061600,1792.3700000,1792.3700000,1792.1500000,1792.1500000
SANDP-FUT,1,20140210,061700,1792.1000000,1792.1000000,1792.1000000,1792.1000000
SANDP-FUT,1,20140210,061800,1792.1300000,1792.1600000,1792.1300000,1792.1600000
SANDP-FUT,1,20140210,061900,1792.1700000,1792.3000000,1792.1700000,1792.3000000
SANDP-FUT,1,20140210,062000,1792.3300000,1792.4000000,1792.3300000,1792.4000000
SANDP-FUT,1,20140210,062600,1792.3000000,1792.3000000,1792.2000000,1792.2000000
SANDP-FUT,1,20140210,062700,1792.1900000,1792.1900000,1792.1000000,1792.1000000
SANDP-FUT,1,20140210,062900,1791.8700000,1791.8700000,1791.8000000,1791.8000000
SANDP-FUT,1,20140210,063000,1791.7500000,1791.7500000,1791.4000000,1791.4000000
SANDP-FUT,1,20140210,063300,1791.4000000,1791.4000000,1791.4000000,1791.4000000
SANDP-FUT,1,20140210,064100,1791.1800000,1791.1800000,1791.1400000,1791.1400000
SANDP-FUT,1,20140210,064200,1791.1000000,1791.1000000,1791.1000000,1791.1000000
SANDP-FUT,1,20140210,064500,1791.2800000,1791.3800000,1791.2800000,1791.3800000
SANDP-FUT,1,20140210,064600,1791.3900000,1791.5000000,1791.3900000,1791.5000000
SANDP-FUT,1,20140210,064700,1791.5000000,1791.5000000,1791.5000000,1791.5000000
SANDP-FUT,1,20140210,065000,1791.5000000,1791.5000000,1791.5000000,1791.5000000
SANDP-FUT,1,20140210,070100,1791.4800000,1791.4800000,1791.4000000,1791.4000000
SANDP-FUT,1,20140210,070400,1791.4300000,1791.5000000,1791.4300000,1791.5000000
SANDP-FUT,1,20140210,070500,1791.5100000,1791.6000000,1791.5100000,1791.6000000
SANDP-FUT,1,20140210,070700,1791.7000000,1791.7500000,1791.7000000,1791.7400000
SANDP-FUT,1,20140210,070800,1791.7300000,1791.7300000,1791.7000000,1791.7000000
SANDP-FUT,1,20140210,071500,1791.6300000,1791.6300000,1791.5300000,1791.5300000
SANDP-FUT,1,20140210,071600,1791.5200000,1791.5200000,1791.5000000,1791.5000000
SANDP-FUT,1,20140210,071800,1791.5000000,1791.5000000,1791.5000000,1791.5000000
SANDP-FUT,1,20140210,072400,1791.4900000,1791.4900000,1791.4700000,1791.4700000
SANDP-FUT,1,20140210,072500,1791.4600000,1791.4600000,1791.4000000,1791.4000000
SANDP-FUT,1,20140210,072900,1791.3000000,1791.3000000,1791.1900000,1791.2000000
SANDP-FUT,1,20140210,073000,1791.2000000,1791.3600000,1791.2000000,1791.3600000
SANDP-FUT,1,20140210,073100,1791.3800000,1791.4000000,1791.3800000,1791.4000000
SANDP-FUT,1,20140210,073400,1791.4600000,1791.4900000,1791.4600000,1791.4900000
SANDP-FUT,1,20140210,073500,1791.5000000,1791.5000000,1791.5000000,1791.5000000
SANDP-FUT,1,20140210,073800,1791.5000000,1791.5000000,1791.5000000,1791.5000000
SANDP-FUT,1,20140210,074100,1791.5000000,1791.5000000,1791.5000000,1791.5000000
SANDP-FUT,1,20140210,074400,1791.6000000,1791.7700000,1791.6000000,1791.7700000
SANDP-FUT,1,20140210,074500,1791.7800000,1791.8000000,1791.7800000,1791.8000000
SANDP-FUT,1,20140210,074800,1791.8000000,1791.8000000,1791.8000000,1791.8000000
SANDP-FUT,1,20140210,075200,1791.8500000,1791.9200000,1791.8500000,1791.9200000
SANDP-FUT,1,20140210,075300,1791.9300000,1792.0000000,1791.9300000,1792.0000000
SANDP-FUT,1,20140210,075400,1792.0000000,1792.0000000,1792.0000000,1792.0000000
SANDP-FUT,1,20140210,075700,1791.9000000,1791.9000000,1791.9000000,1791.9000000
SANDP-FUT,1,20140210,075800,1791.9300000,1792.0000000,1791.9300000,1792.0000000
SANDP-FUT,1,20140210,080000,1791.9300000,1791.9300000,1791.8900000,1791.8900000
SANDP-FUT,1,20140210,080100,1791.8700000,1791.8700000,1791.8000000,1791.8000000
SANDP-FUT,1,20140210,080300,1791.7000000,1791.7000000,1791.5700000,1791.5700000
SANDP-FUT,1,20140210,080400,1791.5400000,1791.7000000,1791.5400000,1791.7000000
SANDP-FUT,1,20140210,081100,1791.6700000,1791.6700000,1791.4000000,1791.4000000
SANDP-FUT,1,20140210,081200,1791.2000000,1791.2000000,1791.1000000,1791.1000000
SANDP-FUT,1,20140210,081400,1791.2500000,1791.3000000,1791.2500000,1791.3000000
SANDP-FUT,1,20140210,081500,1791.3300000,1791.4000000,1791.3300000,1791.4000000
SANDP-FUT,1,20140210,081600,1791.4000000,1791.4000000,1791.2300000,1791.2700000
SANDP-FUT,1,20140210,081700,1791.2800000,1791.4000000,1791.2800000,1791.4000000
SANDP-FUT,1,20140210,081900,1791.4200000,1791.4500000,1791.4200000,1791.4500000
SANDP-FUT,1,20140210,082000,1791.4700000,1791.5000000,1791.4700000,1791.5000000
SANDP-FUT,1,20140210,082600,1791.5000000,1791.5000000,1791.5000000,1791.5000000
SANDP-FUT,1,20140210,082900,1791.4000000,1791.4000000,1791.3700000,1791.3700000
SANDP-FUT,1,20140210,083000,1791.3600000,1791.3600000,1791.3000000,1791.3000000
SANDP-FUT,1,20140210,083600,1791.3300000,1791.4700000,1791.3300000,1791.4700000
SANDP-FUT,1,20140210,083700,1791.4900000,1791.6000000,1791.4900000,1791.6000000
SANDP-FUT,1,20140210,084100,1791.6300000,1791.7000000,1791.6300000,1791.7000000
SANDP-FUT,1,20140210,085000,1791.7200000,1791.8000000,1791.7200000,1791.8000000
SANDP-FUT,1,20140210,085100,1791.8000000,1791.8000000,1791.8000000,1791.8000000
SANDP-FUT,1,20140210,085200,1791.8000000,1791.8000000,1791.8000000,1791.8000000
SANDP-FUT,1,20140210,085300,1791.8100000,1791.8200000,1791.8100000,1791.8100000
SANDP-FUT,1,20140210,085400,1791.8000000,1791.9500000,1791.8000000,1791.9500000
SANDP-FUT,1,20140210,085500,1791.9600000,1792.0000000,1791.9600000,1792.0000000
SANDP-FUT,1,20140210,085600,1792.0000000,1792.0000000,1792.0000000,1792.0000000
SANDP-FUT,1,20140210,085800,1792.1000000,1792.1300000,1792.1000000,1792.1300000
SANDP-FUT,1,20140210,085900,1792.1400000,1792.2700000,1792.1400000,1792.2700000
SANDP-FUT,1,20140210,090000,1792.4000000,1792.4000000,1792.4000000,1792.4000000
SANDP-FUT,1,20140210,090300,1792.3500000,1792.3500000,1792.2000000,1792.2000000
SANDP-FUT,1,20140210,090400,1792.1500000,1792.1500000,1792.1000000,1792.1000000
SANDP-FUT,1,20140210,090500,1792.0900000,1792.0900000,1792.0000000,1792.0000000
SANDP-FUT,1,20140210,091200,1792.0500000,1792.5300000,1792.0500000,1792.5300000
SANDP-FUT,1,20140210,091300,1792.5500000,1792.7000000,1792.5500000,1792.7000000
SANDP-FUT,1,20140210,091400,1792.7300000,1792.8000000,1792.7300000,1792.8000000
SANDP-FUT,1,20140210,091700,1792.8500000,1793.2600000,1792.8500000,1793.2600000
SANDP-FUT,1,20140210,091800,1793.2700000,1793.7000000,1793.2700000,1793.7000000
SANDP-FUT,1,20140210,091900,1793.5300000,1793.5300000,1793.1800000,1793.1800000
SANDP-FUT,1,20140210,092000,1793.1400000,1793.1400000,1793.0000000,1793.0000000
SANDP-FUT,1,20140210,092200,1793.1200000,1793.3000000,1793.1200000,1793.3000000
SANDP-FUT,1,20140210,092700,1793.1000000,1793.1000000,1792.9500000,1792.9500000
SANDP-FUT,1,20140210,092800,1792.9100000,1792.9100000,1792.6000000,1792.6000000
SANDP-FUT,1,20140210,092900,1792.5700000,1792.5700000,1792.4600000,1792.4600000
SANDP-FUT,1,20140210,093000,1792.4500000,1792.5000000,1792.4500000,1792.5000000
SANDP-FUT,1,20140210,093100,1792.6000000,1792.7000000,1792.6000000,1792.7000000
SANDP-FUT,1,20140210,093200,1792.5800000,1792.5800000,1792.2400000,1792.2400000
SANDP-FUT,1,20140210,093300,1792.2000000,1792.2000000,1792.0400000,1792.0400000
SANDP-FUT,1,20140210,093400,1792.0200000,1792.0200000,1792.0000000,1792.0000000
SANDP-FUT,1,20140210,093500,1792.0500000,1792.0900000,1792.0500000,1792.0900000
SANDP-FUT,1,20140210,093600,1792.1000000,1792.4300000,1792.1000000,1792.4300000
SANDP-FUT,1,20140210,093700,1792.4400000,1792.6500000,1792.4400000,1792.6500000
SANDP-FUT,1,20140210,093800,1792.6700000,1792.7000000,1792.6700000,1792.7000000
SANDP-FUT,1,20140210,094000,1792.6800000,1792.6800000,1792.6300000,1792.6300000
SANDP-FUT,1,20140210,094100,1792.6200000,1792.6900000,1792.6000000,1792.6900000
SANDP-FUT,1,20140210,094200,1792.7000000,1792.7000000,1792.4200000,1792.4200000
SANDP-FUT,1,20140210,094300,1792.4000000,1792.4000000,1792.4000000,1792.4000000
SANDP-FUT,1,20140210,094400,1792.3900000,1792.3900000,1792.3400000,1792.3500000
SANDP-FUT,1,20140210,094500,1792.3400000,1792.4500000,1792.3400000,1792.4500000
SANDP-FUT,1,20140210,094600,1792.4600000,1792.5000000,1792.4600000,1792.5000000
SANDP-FUT,1,20140210,095000,1792.7500000,1792.7500000,1792.7500000,1792.7500000
SANDP-FUT,1,20140210,095100,1792.8000000,1793.0000000,1792.8000000,1793.0000000
SANDP-FUT,1,20140210,095300,1793.0000000,1793.0000000,1793.0000000,1793.0000000
SANDP-FUT,1,20140210,095500,1793.0000000,1793.0000000,1793.0000000,1793.0000000
SANDP-FUT,1,20140210,095700,1793.0000000,1793.0000000,1793.0000000,1793.0000000
SANDP-FUT,1,20140210,100000,1793.0000000,1793.0000000,1793.0000000,1793.0000000
SANDP-FUT,1,20140210,100100,1793.0000000,1793.0000000,1793.0000000,1793.0000000
SANDP-FUT,1,20140210,100600,1792.8300000,1792.8300000,1792.7200000,1792.7200000
SANDP-FUT,1,20140210,100700,1792.6500000,1792.6500000,1792.3000000,1792.5000000
SANDP-FUT,1,20140210,101300,1792.7000000,1792.8100000,1792.7000000,1792.8100000
SANDP-FUT,1,20140210,101400,1792.8300000,1793.3200000,1792.8300000,1793.3200000
SANDP-FUT,1,20140210,101500,1793.4000000,1793.4000000,1793.4000000,1793.4000000
SANDP-FUT,1,20140210,102500,1793.0000000,1793.0000000,1792.6000000,1792.6000000
SANDP-FUT,1,20140210,102600,1792.6000000,1792.6000000,1792.6000000,1792.6000000
SANDP-FUT,1,20140210,103100,1792.6500000,1792.6900000,1792.6500000,1792.6900000
SANDP-FUT,1,20140210,103200,1792.7000000,1792.7000000,1792.7000000,1792.7000000
SANDP-FUT,1,20140210,103800,1792.8000000,1792.8000000,1792.8000000,1792.8000000
SANDP-FUT,1,20140210,104200,1792.9300000,1792.9600000,1792.9300000,1792.9600000
SANDP-FUT,1,20140210,104300,1793.0000000,1793.0000000,1793.0000000,1793.0000000
SANDP-FUT,1,20140210,104800,1792.8600000,1792.8600000,1792.8600000,1792.8600000
SANDP-FUT,1,20140210,104900,1792.8100000,1792.8100000,1792.4300000,1792.4300000
SANDP-FUT,1,20140210,105000,1792.4200000,1792.4200000,1792.2700000,1792.2700000
SANDP-FUT,1,20140210,105100,1792.2600000,1792.2600000,1792.2000000,1792.2000000
SANDP-FUT,1,20140210,105200,1792.2000000,1792.2000000,1792.2000000,1792.2000000
SANDP-FUT,1,20140210,105300,1792.2200000,1792.2400000,1792.2200000,1792.2400000
SANDP-FUT,1,20140210,105400,1792.2500000,1792.3000000,1792.2500000,1792.3000000
SANDP-FUT,1,20140210,105700,1792.2500000,1792.2500000,1792.2200000,1792.2200000
SANDP-FUT,1,20140210,105800,1792.2100000,1792.3000000,1792.2000000,1792.3000000
SANDP-FUT,1,20140210,110000,1792.3000000,1792.3000000,1792.3000000,1792.3000000
SANDP-FUT,1,20140210,110100,1792.2800000,1792.2800000,1792.2700000,1792.2700000
SANDP-FUT,1,20140210,110200,1792.2600000,1792.2600000,1792.0100000,1792.0100000
SANDP-FUT,1,20140210,110300,1792.0000000,1792.0000000,1792.0000000,1792.0000000
SANDP-FUT,1,20140210,111500,1791.5600000,1791.5600000,1791.4100000,1791.4100000
SANDP-FUT,1,20140210,111600,1791.3600000,1791.3600000,1791.0800000,1791.1000000
SANDP-FUT,1,20140210,111700,1791.0800000,1791.0800000,1791.0300000,1791.0300000
SANDP-FUT,1,20140210,111800,1791.0200000,1791.0200000,1790.9500000,1790.9500000
SANDP-FUT,1,20140210,111900,1790.9400000,1790.9400000,1790.6300000,1790.6300000
SANDP-FUT,1,20140210,112000,1790.6300000,1790.6300000,1790.5500000,1790.6300000
SANDP-FUT,1,20140210,112100,1790.6400000,1790.8000000,1790.6400000,1790.8000000
SANDP-FUT,1,20140210,112200,1790.8400000,1790.8600000,1790.8400000,1790.8600000
SANDP-FUT,1,20140210,112300,1790.8700000,1791.1800000,1790.8700000,1791.1800000
SANDP-FUT,1,20140210,112400,1791.2000000,1791.2900000,1791.2000000,1791.2900000
SANDP-FUT,1,20140210,112500,1791.3000000,1791.8800000,1791.3000000,1791.8800000
SANDP-FUT,1,20140210,112600,1791.9000000,1792.2000000,1791.9000000,1792.2000000
SANDP-FUT,1,20140210,114900,1790.4000000,1790.4000000,1790.4000000,1790.4000000
SANDP-FUT,1,20140210,115100,1790.1000000,1790.1000000,1790.1000000,1790.1000000
SANDP-FUT,1,20140210,115200,1790.0900000,1790.1400000,1790.0100000,1790.1400000
SANDP-FUT,1,20140210,115300,1790.1800000,1790.5400000,1790.1800000,1790.5400000
SANDP-FUT,1,20140210,115400,1790.5500000,1790.6000000,1790.5500000,1790.6000000
SANDP-FUT,1,20140210,115900,1790.6300000,1790.6300000,1790.6200000,1790.6200000
SANDP-FUT,1,20140210,120000,1790.6100000,1790.6100000,1790.5000000,1790.5000000
SANDP-FUT,1,20140210,120100,1790.4900000,1790.4900000,1790.3400000,1790.4000000
SANDP-FUT,1,20140210,120200,1790.4000000,1790.5300000,1790.4000000,1790.5100000
SANDP-FUT,1,20140210,120300,1790.5000000,1790.5100000,1790.4000000,1790.4000000
SANDP-FUT,1,20140210,120400,1790.4200000,1790.5800000,1790.4200000,1790.5800000
SANDP-FUT,1,20140210,120500,1790.5900000,1790.6900000,1790.5900000,1790.6500000
SANDP-FUT,1,20140210,120600,1790.6400000,1790.6400000,1790.5900000,1790.6000000
SANDP-FUT,1,20140210,120700,1790.5500000,1790.5500000,1790.4100000,1790.4100000
SANDP-FUT,1,20140210,120800,1790.4000000,1790.4000000,1790.4000000,1790.4000000
SANDP-FUT,1,20140210,120900,1790.3700000,1790.3700000,1790.2000000,1790.2000000
SANDP-FUT,1,20140210,121000,1790.1900000,1790.2300000,1790.1400000,1790.2300000
SANDP-FUT,1,20140210,121100,1790.2400000,1790.3600000,1790.2400000,1790.3300000
SANDP-FUT,1,20140210,121200,1790.3200000,1790.4000000,1790.3200000,1790.4000000
SANDP-FUT,1,20140210,121300,1790.4000000,1790.4500000,1790.4000000,1790.4500000
SANDP-FUT,1,20140210,121400,1790.4600000,1790.5400000,1790.2900000,1790.2900000
SANDP-FUT,1,20140210,121500,1790.2800000,1790.2800000,1789.9900000,1790.0000000
SANDP-FUT,1,20140210,121600,1790.0000000,1790.0000000,1789.9500000,1789.9500000
SANDP-FUT,1,20140210,121700,1789.9400000,1789.9800000,1789.9200000,1789.9800000
SANDP-FUT,1,20140210,121800,1790.0000000,1790.2800000,1790.0000000,1790.2800000
SANDP-FUT,1,20140210,121900,1790.3000000,1790.3000000,1790.2100000,1790.2100000
SANDP-FUT,1,20140210,122000,1790.2000000,1790.2000000,1790.1000000,1790.1000000
SANDP-FUT,1,20140210,122100,1790.0700000,1790.0700000,1789.6000000,1789.6100000
SANDP-FUT,1,20140210,122200,1789.6200000,1789.7000000,1789.5000000,1789.5000000
SANDP-FUT,1,20140210,122300,1789.4900000,1789.6600000,1789.4400000,1789.6600000
SANDP-FUT,1,20140210,122400,1789.6700000,1789.6900000,1789.5800000,1789.5900000
SANDP-FUT,1,20140210,122500,1789.5800000,1789.5800000,1789.4400000,1789.4400000
SANDP-FUT,1,20140210,122600,1789.4300000,1789.4500000,1789.3000000,1789.3000000
SANDP-FUT,1,20140210,122700,1789.2900000,1789.2900000,1788.9800000,1788.9900000
SANDP-FUT,1,20140210,122800,1789.0000000,1789.0200000,1788.7700000,1788.7700000
SANDP-FUT,1,20140210,122900,1788.7500000,1788.7500000,1788.5100000,1788.5400000
SANDP-FUT,1,20140210,123000,1788.5500000,1788.7800000,1788.5500000,1788.7800000
SANDP-FUT,1,20140210,123100,1788.7900000,1788.9000000,1788.7900000,1788.9000000
SANDP-FUT,1,20140210,123400,1788.9000000,1788.9000000,1788.9000000,1788.9000000
SANDP-FUT,1,20140210,123600,1788.9000000,1788.9000000,1788.9000000,1788.9000000
SANDP-FUT,1,20140210,123800,1788.9000000,1788.9000000,1788.9000000,1788.9000000
SANDP-FUT,1,20140210,124300,1788.8600000,1788.8600000,1788.6700000,1788.6700000
SANDP-FUT,1,20140210,124400,1788.6600000,1788.6600000,1788.6000000,1788.6000000
SANDP-FUT,1,20140210,124500,1788.5900000,1788.5900000,1788.5200000,1788.5200000
SANDP-FUT,1,20140210,124600,1788.5100000,1788.5100000,1788.4000000,1788.4000000
SANDP-FUT,1,20140210,125100,1788.7500000,1788.9300000,1788.7500000,1788.9300000
SANDP-FUT,1,20140210,125200,1788.9400000,1789.1500000,1788.9400000,1789.1500000
SANDP-FUT,1,20140210,125300,1789.1600000,1789.2000000,1789.1600000,1789.2000000
SANDP-FUT,1,20140210,125900,1789.2800000,1789.5000000,1789.2800000,1789.5000000
SANDP-FUT,1,20140210,130000,1789.5100000,1789.5400000,1789.2000000,1789.2000000
SANDP-FUT,1,20140210,130100,1789.1800000,1789.1900000,1789.1000000,1789.1900000
SANDP-FUT,1,20140210,130200,1789.2000000,1789.4000000,1789.2000000,1789.4000000
SANDP-FUT,1,20140210,130400,1789.4000000,1789.4000000,1789.4000000,1789.4000000
SANDP-FUT,1,20140210,130700,1789.5400000,1789.7800000,1789.5400000,1789.7800000
SANDP-FUT,1,20140210,130800,1789.8100000,1790.0000000,1789.8100000,1790.0000000
SANDP-FUT,1,20140210,131600,1790.0800000,1790.1300000,1790.0800000,1790.1300000
SANDP-FUT,1,20140210,131700,1790.1400000,1790.2000000,1790.1400000,1790.2000000
SANDP-FUT,1,20140210,131800,1790.2000000,1790.2000000,1790.2000000,1790.2000000
SANDP-FUT,1,20140210,131900,1790.0000000,1790.0000000,1789.8500000,1789.8500000
SANDP-FUT,1,20140210,132000,1789.8300000,1789.8300000,1789.4000000,1789.4000000
SANDP-FUT,1,20140210,132400,1789.5900000,1789.7000000,1789.5900000,1789.7000000
SANDP-FUT,1,20140210,132500,1789.7000000,1789.7000000,1789.7000000,1789.7000000
SANDP-FUT,1,20140210,132600,1789.6300000,1789.6300000,1789.5700000,1789.5700000
SANDP-FUT,1,20140210,132700,1789.5000000,1789.5000000,1789.5000000,1789.5000000
SANDP-FUT,1,20140210,133000,1789.4500000,1789.4500000,1789.2000000,1789.2000000
